p,m,average_trip_length,sigma,mu
1,1,0,0.048236497,0.643066232
2,1,0,0.174092,0.365621525
3,1,0,0.045440651,0.486555618
4,1,0,0.048234528,0.478295662
5,1,0,0.046266467,0.492981365
6,1,0,0.047854702,0.562207395
7,1,0,0.054001414,0.509032653
8,1,0,0.210658794,0.441488463
1,2,0,0.591211511,1.003356294
2,2,0,0.602666763,0.643203402
3,2,0,0.254629338,0.423491604
4,2,0,0.293917923,0.271184099
5,2,0,0.447951668,0.486251927
6,2,0,0.390464461,0.630547471
7,2,0,0.571268296,0.426808693
8,2,0,0.729911371,0.972343778
1,3,13.31701908,0.864491859,1.710427627
2,3,27.81343083,1.204234463,1.77369283
3,3,5.243040437,0.579382013,0.700567339
4,3,8.450150015,0.728947811,1.108468387
5,3,8.05257315,0.751364952,1.018450214
6,3,11.27933372,0.75257074,1.301060056
7,3,12.30474764,0.90232472,1.281265765
8,3,31.58648713,1.277900602,1.248619826
1,5,13.31701908,0.549244111,1.742378087
2,5,27.81343083,0.536516375,1.622644667
3,5,5.243040437,0.57721846,1.505822097
4,5,8.450150015,0.511240586,1.269236213
5,5,8.05257315,0.545777058,1.19245799
6,5,11.27933372,0.529112697,1.325845944
7,5,12.30474764,0.599508871,1.446878688
8,5,31.58648713,1.618813921,1.648349602
1,7,0,0.491851354,2.663215094
2,7,0,0.506918978,2.294073679
3,7,0,1.110548399,2.418105069
4,7,0,0.832011515,2.425649
5,7,0,0.573918177,1.970652953
6,7,0,0.808298931,2.434548742
7,7,0,0.5974798,2.251655429
8,7,0,1.148381825,3.023966084
